tweet,emocao
essa situação é triste demais prefiro não pensar ,0
ainda triste ,0
n tô bem triste tô só pensando em uns ngc q me deixaram meio assi ,0
tô triste ela era a minha loja fav ,0
sinto que você cresceu demais fiquei triste mas vc ainda é meu bebê,0
q triste af n vi ngm falando do jao,0
tô triste ,0
essa foto me deixa triste ,0
faz live amnh pfvvv n sabia q vc estava fazendo em live fiquei triste de n participar ,0
que triste queria meu cabelo curtinho ,0
eu fiquei triste namoral ,0
eu sinto muito de verdade espero que ele fique bem e que em breve consigam lembrar disso como um momento triste mas que foi superado torcendo pra tudo ficar bem melhoras pro seu avô ,0
o biquinho no final gio tô triste dms,0
to flz pelo simon mas triste pq ele vai embora de vr ,0
naooo triste ,0
naaao abad esta triste ,0
afff mt triste por ela ,0
nossa eu fiquei muito triste com essa série pq as winx eh um dos meus desenhos favoritos e eu sinto q distorceram tudo poderia ter sido bem melhor ,0
eu estou tão triste lendo os comentários ,0
a coisa mais triste que eu acho é os filhos que tem que ir na igreja obrigado pelos pais se vc passa por isso sinto mt ,0
tá foda fazer au ao invés de me fazer feliz me fez foi triste ,0
simmm é tão horrível e amiga pior que minha mãe nunca tinha feito nenhum comentário desse tipo foi a primeira vez e to bem triste e decepcionada queria não estar mas estou sim ,0
issoo ai quando vc pensar em assistir me fala pra eu saber o que vc achou é triste né eu fico pensando se eles podem estar ou nao mas não da pra criar mt expectativa mesmo pq eles não são de mostrar mt mas o que mostram é bom pra fanficar hahah,0
estou triste ,0
meu santão ta triste no brasileiro ,0
pensei que eu tinha feito algo ate fiquei triste ,0
indo dormir triste pois perdi na sinuca ,0
fiquei triste pq a formiga me picou eu so fui tirar ela da água aff ,0
tô triste pq nenhuma das minhas amigas pode vim posar comigo odeio posar sozinha ,0
eu to preocupada real com a maria nunca vi ela parecer tão triste ,0
porra tem que aproveitar a fama das paquitas né que as bebezinhas fazem diferença na minha vida triste ,0
mas ele q ta assim cmg fav eu to mt triste eu to com sdd dele,0
eu fico tão triste com isso porque se o akutagawa não fosse da máfia o atsushi e ele seriam ótimos amigos ,0
que pesada a morte da xerife liz achei tão triste tadinha da caroline ,0
ai gent tô tãl triste q a minha amiga teve q fechar a lojinha dela ,0
to triste demais de amor ,0
única coisa triste dessa noite é que perdi a live do criolo ,0
tem vidas q minha amg nao vê filme cmg eu to tao triste q ela nao me ama mais ,0
como fazer um cartão de crédito se você e não pode atualizar seu rg google pesquisar eu tô muito triste eu só queria um cartão de crédito,0
não tem ninguém que esteja mais triste que eu agora puta merda ,0
triste é q não devem ser só esses dois anos ,0
desabafo eu fico tão triste com meus pais falando que eu nasci mulher e coisa do tipo eu sei que não é verdade mas sei lá é ruim ser invalidado e ter que ficar arrumando seus pronomes mentalmente mas eles não estão errados pq eles não sabem então nem imaginam que me deixa ,0
deve ser muito chato ser meu amigo e ouvir que estou triste desanimada o tempo todo ,0
o fato de eu ter empatia ate por uma formiga me deixa triste ,0
melhoras gu triste não ter sua live todos os dia ,0
tô triste pq eu imagino isso msm,0
acabei de fazer o vídeo edit pro bday do dean e tô triste agora ,0
mas eu to triste ,0
foi um dia triste querido amigo ,0
ai brigada amiga é q sla esses dias me olho no espelho n consigo me ver bonita normalmente n sou assim mas sla me senti triste ,0
ai vei não consigo mais gostar desse anime fico triste pq eu gostava muito antes ,0
siim kkkkk é vdd eu consegui ver os meninos beeem pequenininhos mas vi triste pq eu n me lembro de muitos detalhes já faz uns bons anos ,0
espero muito que harry fique bem e seguro muito triste que ele tenha passado por isso ,0
mt triste hoje ,0
aproveitar que eu coloquei a imagem na header e exaltar a beleza da ssr do leona fairy gala eu fico triste até hoje de não ter baixado o jogo a tempo de conseguir a carta dele espero que o evento volte logo um dia ,0
só fico triste de morar em cachoeiro por isso não tenho um pra me salvar ,0
eu to tao triste ,0
eu to tão triste ,0
to triste fiquei hipnotizado vendo tudinho você cresceu tão rápido com um simples sonhozinho e sempre acreditou que conseguiria ,0
muito triste ,0
maratonar os filmes na madrugada o edit ai to triste ,0
meudeus eu fiquei triste demais esse filme é ótimo inclusive a ost ,0
gent essas fotos meu feud eu to tao triste ela olhando p bolo ,0
muito triste que eu não curti a city edition do heat em jogo ela sozinha tava bonitassa,0
fico triste de escutar zombie e me identificar tanto ,0
fico triste que sempre esquecem do junpei em thread de jjk fico mto triste,0
isso eh triste demais mi ainda bem q vc eh uma mulher com grandes seios pode deixar os glutens pra outras,0
ai fiquei com triste com isso veii queria saber o q rolou ,0
vocês tristes por não poderem ir pegar todo mundo no carnaval e eu triste por não poder ver o desfile da gaviões ,0
poxa irmao realmente triste pela tua situacao obrigado por ter interagido comigo todo esse tempo tomara q tu volte logo ,0
hahahaha poxa amiga que triste ,0
eu fico mt triste com uma noticia dessa s ,0
finalmente assisti lupin que serie meus amigos apenas estou triste pq termino como as novelas da globo termina o problema é q na novela tem um ep novo todo dia ,0
eu fico triste qnd minhas ex amigas me veem na rua e nao dao tchauzinho ,0
mds pq eu tô tão triste eu só qria poder dormir c o coraçãozinho em paz ,0
tô triste juju ,0
